prompt,completion
funk groove acoustic ->," None
0:r
None
2:k,4:h,6:h,7:s
0:k,4:s,8:h,9:s
0:y,9:h,12:s,16:h,18:h,26:h,27:k,28:s,31:s ###"
funk groove dark hybrid ->," None
0:r
None
2:k,4:a,6:a,7:s
0:k,4:s,8:a,9:s
0:y,9:a,12:s,16:a,18:a,26:a,27:k,28:s,31:s ###"
funk groove big room layered ->," None
0:r
None
2:k,4:h,4:s,6:h,7:s
0:k,8:h,9:s
0:y,9:h,16:h,18:h,26:h,27:k,31:s ###"
soul groove acoustic ->," None
None
2:h
4:s
0:k,4:h,8:h,10:k,15:k
0:k,5:s,12:h,13:s,16:h,28:k ###"
soul groove dark hybrid ->," None
0:a
None
4:s
0:k,10:k,15:k
5:s,13:s ###"
funk groove acoustic ->," None
None
None
4:s
0:k,2:h,3:k,4:k,7:k,8:h,9:k,10:l,10:k,12:h,12:s,14:k,15:s
0:k,6:h,12:k,14:s,16:h,16:s,17:s,22:k,23:s,28:h,31:s ###"
funk groove dark hybrid ->," None
0:a
None
4:s
0:k,3:k,7:k,9:k,10:k,12:a,12:s,15:s
14:s,16:s,17:s,23:s,31:s ###"
funk groove deep daft ->," None
None
None
4:s
0:k,2:h,3:k,4:k,7:k,8:h,9:k,10:k,10:a,12:h,12:s,14:k,15:s
0:k,6:h,12:k,14:s,16:h,16:s,17:s,22:k,23:s,28:h,31:s ###"
soul groove acoustic ->," None
1:h
0:h
7:s
0:k,3:k,6:k,9:k,9:s,10:h,10:k,12:s,13:k,14:h
0:s,2:k,4:s,9:s,13:s,17:s,18:h,18:s,20:z ###"
soul groove dark hybrid ->," 0:a
None
None
7:s
0:k,3:k,9:k,9:s,10:k,12:s,13:k
0:s,4:s,9:s,13:s,17:s,18:s,20:z ###"
soul groove 808 simple ->," None
1:h
0:h
4:s,7:s
0:k,3:k,6:k,9:k,9:s,10:h,10:k,13:k,14:h
0:s,2:k,9:s,13:s,17:s,18:h,18:s ###"
soul groove acoustic ->," None
None
None
0:k,2:k
4:s,6:h,7:h,9:h
0:h,4:k,12:s,12:k,14:h,15:h,16:k,20:h,28:s,28:h,30:l ###"
soul groove dark hybrid ->," None
None
2:a
0:k,4:a
0:a,4:s,7:a,9:a
12:s,15:a,28:s ###"
soul groove big room layered ->," None
None
None
0:k,2:k,4:s
6:h,7:h,9:h
0:h,4:k,12:k,14:h,15:h,16:k,20:h,28:h,30:l ###"
soul groove deep daft ->," None
None
None
0:k,2:k
4:s,6:h,7:h,9:h
0:h,4:k,12:s,12:k,14:h,15:h,16:k,20:h,28:s,28:h,30:a ###"
funk groove acoustic ->," None
None
None
None
None
0:h,0:k,1:h,1:k,2:h,3:h,3:k,4:h,4:z,5:h,6:k,7:h,7:s,8:h,9:h,9:s,10:h,10:k,11:h,12:h,12:s,13:h,13:k,14:h,15:h,15:s ###"
funk groove dark hybrid ->," None
None
None
None
None
0:k,0:a,1:k,1:a,2:a,3:k,3:a,4:z,4:a,5:a,6:a,7:a,7:s,8:a,9:a,9:s,10:k,10:a,11:a,12:a,12:s,13:k,13:a,14:a,15:s,15:a ###"
funk groove 808 simple ->," None
None
None
None
None
0:h,0:k,1:h,1:k,2:h,3:h,3:k,4:s,4:h,5:h,6:k,7:h,7:s,8:h,9:h,9:s,10:h,10:k,11:h,12:h,12:s,13:h,13:k,14:h,15:h,15:s ###"
hiphop groove acoustic ->," None
None
None
2:k
0:k,3:h,3:k,4:s,4:k,5:h,7:h,7:k,8:k,9:h,9:k,10:k
0:h,1:h,6:k,11:h,12:s,12:k,13:h,13:k,14:k,15:h,15:k,16:k,17:k,21:s,22:h,28:k,30:k ###"
hiphop groove dark hybrid ->," None
None
None
0:a,1:a,2:a
0:k,3:k,3:a,4:s,4:a,5:a,6:a,7:k,7:a,9:k,10:k
11:a,12:s,12:a,13:k,13:a,14:a,15:k,15:a,21:s,28:k,30:k ###"
pop groove acoustic ->," None
None
None
None
0:h,2:h,4:h,4:k,6:h
0:k,4:z,8:h,8:k,10:h,12:h,12:s,14:h,17:k,20:s ###"
pop groove dark hybrid ->," None
None
None
None
0:a,2:a,4:k,4:a,6:a
0:k,4:z,8:k,8:a,10:a,12:a,12:s,14:a,17:k,20:s ###"
pop groove 808 simple ->," None
None
None
None
0:h,2:h,4:s,4:h,4:k,6:h
0:k,8:h,8:k,10:h,12:h,12:s,14:h,17:k ###"
rock groove acoustic ->," None
None
None
0:k,2:k,4:s
4:k,6:k,7:k,8:k
0:h,0:k,12:k,14:k,16:h,27:s,29:l,29:k ###"
rock groove dark hybrid ->," None
None
None
0:k,0:a,2:a,4:s
4:a,6:a,7:k
0:a,12:a,14:a,27:s,29:k,29:a ###"
rock groove deep daft ->," None
None
None
0:k,2:k,4:s
4:k,6:k,7:k,8:k
0:h,0:k,12:k,14:k,16:h,27:s,29:k,29:a ###"
soul groove acoustic ->," None
0:h
None
None
0:k,4:s,9:k
12:s,26:k,28:s ###"
